"rv.AEX","rv.AORD","rv.BVSP","rv.DJI","rv.GDAXI","rv.GSPTSE","rv.IXIC","rv.RUT","rv.SPX","rv.SSMI","rv.STOXX50E"
5.93e-05,9.02e-05,5.4e-05,2.02e-05,5.6e-05,7.72e-06,2.44e-05,2.17e-05,3.57709e-05,4.29e-05,4.78e-05
3.49e-05,2.29e-05,6.27e-05,3.52e-05,2.88e-05,8.16e-06,3.3e-05,2.75e-05,1.55871e-05,3.68e-05,3.62e-05
6.87e-05,1.29e-05,0.000126614,6.32e-05,5.54e-05,1.62e-05,7.59e-05,4.94e-05,6.29051e-05,7.1e-05,0.000115453
7.34e-05,2.68e-05,9.66e-05,9.74e-05,4.31e-05,1.74e-05,9.18e-05,5.17e-05,0.000156429,3.82e-05,5.41e-05
7.34e-05,2.68e-05,9.66e-05,9.74e-05,4.31e-05,1.74e-05,9.18e-05,5.17e-05,0.000156429,3.82e-05,5.41e-05
5.17e-05,0.000169898,6.18e-05,5.36e-05,3.45e-05,9.03e-06,5.49e-05,3.31e-05,3.6646e-05,4.03e-05,4.88e-05
2.68e-05,1.04e-05,3.92e-05,2.85e-05,1.79e-05,3.49e-06,3.04e-05,1.6e-05,2.30128e-05,2.3e-05,3.89e-05
6.98e-05,4.45e-05,3.25e-05,2.89e-05,8.63e-05,9.59e-06,5.94e-05,2.47e-05,1.85188e-05,6.15e-05,6.17e-05
2.52e-05,4.94e-05,7.37e-05,3.5e-05,2.9e-05,6.66e-06,2.81e-05,2.29e-05,5.94951e-06,3.83e-05,3.51e-05
3.77e-05,1.02e-05,5.98e-05,3.65e-05,2.59e-05,7.05e-06,2.55e-05,2.3e-05,1.21024e-05,2.67e-05,3.73e-05
2.18e-05,1.85e-05,5.58e-05,2.29e-05,2.22e-05,6.08e-06,2.84e-05,8.09e-06,3.85756e-05,2.49e-05,2.34e-05
1.71e-05,1.66e-05,5.46e-05,2.5e-05,1.88e-05,6.81e-06,4.8e-05,2.16e-05,1.67266e-05,1.28e-05,2.77e-05
2.09e-05,2.06e-05,5.56e-05,2.34e-05,1.44e-05,8.72e-06,2.09e-05,6.43e-06,4.37009e-06,1.54e-05,1.86e-05
6.35e-05,3.3e-05,5.7e-05,2.62e-05,4.73e-05,1.02e-05,3.81e-05,2.17e-05,1.91403e-05,3.54e-05,6.03e-05
1.81e-05,5.68e-06,4.26e-05,1.65e-05,1.48e-05,4.64e-06,2.02e-05,1.35e-05,6.70048e-06,2.6e-05,1.52e-05
1.97e-05,9.98e-06,3.49e-05,1.65e-05,1.11e-05,4.64e-06,2.02e-05,1.35e-05,6.70048e-06,1.12e-05,9.38e-06
2.98e-05,1.35e-05,4.07e-05,2.59e-05,2.94e-05,9.39e-06,3.37e-05,1.7e-05,1.19858e-05,2.28e-05,5.19e-05
1.26e-05,9.56e-06,2.81e-05,6.56e-06,1.66e-05,5.81e-06,8.8e-06,8.97e-06,6.78793e-06,1.42e-05,1.25e-05
2.44e-05,1.88e-05,9e-05,7.67e-05,2.23e-05,1.73e-05,0.000125847,8.07e-05,7.37848e-05,2.33e-05,2.97e-05
8.32e-05,1.32e-05,4.64e-05,5.65e-05,7.28e-05,1.22e-05,9.44e-05,4.07e-05,3.36595e-05,5.46e-05,9.58e-05
0.000129372,0.000125877,4.64e-05,0.000180169,0.000119996,5.33e-05,0.000179254,7.9e-05,7.01928e-05,0.000443568,0.000366219
0.000180144,0.000335877,4.64e-05,0.000223295,0.000158383,6.56e-05,0.000295556,0.000166689,0.000585468,0.000109298,0.000158695
0.000365896,0.000241003,0.001313145,0.000265962,0.000370983,0.000104089,0.000294553,0.000156575,0.000197023,0.000268444,0.000306848
0.000413302,7.76e-05,0.000363801,0.000720672,0.000294871,0.000218849,0.000680083,0.000465506,0.000560165,0.000396185,0.000562461
0.000578787,0.000596495,0.000499055,0.00145577,0.000676615,0.00048489,0.001461172,0.000715258,0.000460412,0.001350223,0.001384617
0.001064194,0.000332435,0.000292132,0.00145577,0.000666591,0.000227682,0.000545283,0.000328207,0.000841705,0.000768021,0.001384617
0.000517829,0.000239077,0.001109686,0.001744815,0.000786595,0.000458483,0.001368379,0.00099545,0.000989791,0.0006382,0.000794437
